Nr	3D-ObjectID	BurialNo	Category	Archaeological_element	CatalogueNo	Individual	Title	Description	Archaeological Project	Fieldseason	Year_digitized	Polygons	Decimated geometry	Digitization Method	Software Used	3D-X	3D-Y	3D-Z	Author	File-Format	Burial	Site	Period	Ceramic_period	Structure	Location	Arquitecture	Deposit	Reopening	Evidence_reopening	MNI	Associated objects	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification
1	PalSep_Model8	7	Bone	Cranium		Individual 7-B	Bone: Reconstructed incomplete Cranium, Individual 7B from Burial 7	Reconstructed incomplete cranium of a male adult individual	PREP	2016	2021	2.655.965	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B7	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Reduced primary (Individual 7B)	3	Three bone needles, two vessels	S7B	Masculine	43.9 ys	Reduced primary	Supine	Disarticulated legs, extended arms	24 E	Oblique tabular																												
2	PalSep_Model9	14	Bone	Cranium		Individual 14-A	Bone: Cranium, Individual 14A from Burial 14	Cranium of a male adult individual	PREP	2016	2021	1.729.674	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B14	Palenque, Group IV		Motiepa 	J7	Underneath the structure	Elaborate Crypt	Individual primary	Yes?		1	Vessel, spindle whorl, earrings and earspools, jade beads	S14A	Masculine	32-35 ys	Primary	Supine	Extended		Oblique tabular																												
3	PalSep_Model10	14	Bone	Mandible		Individual 14-A	Bone: Mandible, Individual 14A from Burial 14	Mandible of a male adult individual	PREP	2016	2021	543.112	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B14	Palenque, Group IV		Motiepa 	J7	Underneath the structure	Elaborate Crypt	Individual primary	Yes?		1	Vessel, spindle whorl, earrings and earspools, jade beads	S14A	Masculine	32-35 ys	Primary	Supine	Extended																														
4	PalSep_Model11	14	Bone	Os Coxae		Individual 14-A	Bone: Right Os Coxae, Individual 14A from Burial 14	Right ox coxae of a male adult individual	PREP	2016	2021	790.962	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B14	Palenque, Group IV		Motiepa 	J7	Underneath the structure	Elaborate Crypt	Individual primary	Yes?		1	Vessel, spindle whorl, earrings and earspools, jade beads	S14A	Masculine	32-35 ys	Primary	Supine	Extended																														
5	PalSep_Model12	14	Bone	Humerus		Individual 14-A	Bone: Left Humerus, Individual 14A from Burial 14	Left humerus of a male adult individuals	PREP	2016	2021	202.662	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B14	Palenque, Group IV		Motiepa 	J7	Underneath the structure	Elaborate Crypt	Individual primary	Yes?		1	Vessel, spindle whorl, earrings and earspools, jade beads	S14A	Masculine	32-35 ys	Primary	Supine	Extended																														
6	PalSep_Model13	8	Bone	Cranium		Individual 8-A	Bone: Reconstructed Incomplete Cranium, Individual 8A from Burial 8	Reconstructed incomplete cranium of a female adult individual	PREP	2016	2021	1.604.198	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B8	Palenque, Group IV			Patio		Simple crypt o box	Collective secondary	No		3	Bone needle, vessel, two stingray spines (one burnt), bone needle, chicozapote seed	S8A	Femenine	40-50 ys	Secondary	Disarticulated	Disarticulated		Oblique tabular																												
7	PalSep_Model14	8	Bone	Mandible		Individual 8-A	Bone: Mandible, Individual 8A from Burial 8	Mandible of a female adult individual	PREP	2016	2021	405.919	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B8	Palenque, Group IV			Patio		Simple crypt o box	Collective secondary	No		3	Bone needle, vessel, two stingray spines (one burnt), bone needle, chicozapote seed	S8A	Femenine	40-50 ys	Secondary	Disarticulated	Disarticulated		Oblique tabular																												
8	PalSep_Model17	8	Bone	Cranium		Individual 8-B	Bone: Cranium, Individual 8B from Burial 8	Reconstructed incomplete cranium of an adult individual	PREP	2016	2021	1.637.325	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B8	Palenque, Group IV			Patio		Simple crypt o box	Collective secondary	No		3	Bone needle, vessel, two stingray spines (one burnt), bone needle, chicozapote seed	18B		Adult																																	
9	PalSep_Model18	8	Bone	Cranium		Individual 8-C	Bone: Reconstructed Incomplete Cranium, Individual 8C from Burial 8	Reconstructed incomplete cranium of a male adult individual	PREP	2016	2021	1.761.145	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B8	Palenque, Group IV			Patio		Simple crypt o box	Collective secondary	No		3	Bone needle, vessel, two stingray spines (one burnt), bone needle, chicozapote seed	S8C	Masculine	40-44 ys																																	
10	PalSep_Model20	9	Bone	Cranium		Individual L95	Bone: Incomplete Left Temporal Bone, Secondary Individual from outside Burial 10	Left temporal bone of a secondary individual	PREP	2016	2021	485.763	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B10+9	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Box	Collective secondary	Yes?	Bones beneath the wall of the box	4?	Vessel, four oliva shells, spindle whorl, jade bead, possibly sherds of more vessels																																				
